artist_name,year,stage,performance_date,start_time,end_time,cancelled,replacement_for,notes,country,origin,artist_type,gender,genre,style,mb_id
Mano Solo,2005,Scène 1,2005-09-17,,,0,,,France,Châlons-du-Maine - Mayenne,Person,,,,5febe272-7691-4ea8-a3cf-c6c7f98d9bf1
Mass Hysteria,2005,Scène 1,2005-09-17,,,0,,,France,Paris - Paris,Band,,,,38a35139-7ef9-44e1-a565-e1018b4a7635
K2R Riddim,2005,Scène 1,2005-09-17,,,0,,,France,Cergy - Val-d'Oise,Band,,,,d8ce0617-a384-4b2e-8d3c-463f67a97b87
Cyann & Ben,2005,Scène 1,2005-09-17,,,0,,,France,Charleville-Mézières - Ardennes,Band,,,,81f772a9-5bea-4fc0-a5fb-70aa3570fa0d
Flying Pooh,2005,Scène 1,2005-09-17,,,0,,,France,Pontoise - Val-d'Oise,Band,,,,0b75a1ba-8aa1-4136-91c8-ec22cf89554e
Jacques Higelin,2005,Scène 1,2005-09-18,,,0,,,France,Brou-sur-Chantereine - Seine-et-Marne,Person,,,,f75e42a2-e1f8-4873-ae07-f925dbc095ba
Florent Vintrignier,2005,Scène 1,2005-09-18,,,0,,,France,Paris - Paris,Person,,,,e3fce7ac-f6da-4e2c-9519-80e6ee6f4fde
Grendel,2005,Scène 2,2005-09-17,,,0,,,France,Charleville-Mézières - Ardennes,Band,,,,
Durb,2005,Scène 2,2005-09-17,,,0,,,France,Sedan - Ardennes,Band,,,,
Kracooqas,2005,Scène 2,2005-09-17,,,0,,,France,Sedan - Ardennes,Band,,,,
Taxi Brouss',2005,Scène 2,2005-09-17,,,0,,,France,Toulouse - Garonne,Band,,,,
Hedgar,2005,Scène 2,2005-09-17,,,0,,,France,Sedan - Ardennes,Band,,,,
Ed Warner's Cage,2005,Scène 2,2005-09-17,,,0,,,France,Charleville-Mézières - Ardennes,Band,,,,10f9c2da-93fd-4f6d-b9ec-5ce569dd750a
Kitchi Kitchi,2005,Scène 2,2005-09-17,,,0,,,France,Attigny - Ardennes,Band,,,,
Funky Toaster,2005,Scène 2,2005-09-17,,,0,,,France,Charleville-Mézières - Ardennes,Band,,,,
Karpatt,2005,Scène 2,2005-09-18,,,0,,,France,Paris - Paris,Band,,,,ee271287-f304-4a23-8d61-8b56e76d16ad
Léolo,2005,Scène 2,2005-09-18,,,,,,,,,,,,
Antidote,2005,Scène 2,2005-09-18,,,0,,,France,Charleville-Mézières - Ardennes,Band,,,,
Tagar,2005,Scène 2,2005-09-18,,,0,,,France,Rethel - Ardennes,Band,,,,
Sliping Kangooroos,2005,Scène 2,2005-09-18,,,0,,,France,Sedan - Ardennes,Band,,,,
Hubert-Félix Thiéfaine,2006,Scène 1,2006-09-03,18:30,19:30,0,,,France,Dole - Jura,Person,,,,29e9c7d7-e79a-41d5-a255-c19ff04d5065
Les Wampas,2006,Scène 1,2006-09-02,19:30,20:30,0,,,France,Paris - Paris,Band,,,,46c6a335-6064-4118-8021-83fb37b1bc6a
Dionysos,2006,Scène 1,2006-09-01,23:30,00:30,0,,,France,Valence - Drôme,Band,,,,7d248ccb-588a-414e-ab3e-be6dd8b71f81
Saïan Supa Crew,2006,Scène 1,2006-09-02,17:30,18:30,0,,,France,Bondy - Seine-Saint-Denis,Band,,,,0b8d3a99-c66f-4b6c-898c-31c30f28a196
Burning Heads,2006,Scène 1,2006-09-01,19:15,20:15,0,,,France,Orléans - Loiret,Band,,,,ffbe6832-9ab2-465e-8154-050d3a85b61d
Watcha,2006,Scène 1,2006-09-01,20:45,21:45,0,,,France,Paris - Paris,Band,,,,4530a945-981f-4ca1-bce4-c284b4a79251
Didier Super,2006,Scène 2,2006-09-02,18:45,19:25,0,,,France,Douai - Nord,Person,,,,14d3d266-58c6-415d-a3ba-02aeb28006c5
Sold Out,2006,Scène 2,2006-09-01,01:00,01:40,0,,,Belgium,Bruxelles,Band,,,,dd0c8efb-8c1e-43cc-ae58-c1c288bb2d57
Rookie Rock Radio,2006,Scène 2,2006-09-02,15:30,16:10,0,,,France,Charleville-Mézières - Ardennes,Band,,,,
Dagoba,2006,Scène 1,2006-09-02,16:00,17:00,0,,,France,Marseille - Bouches-Du-Rhône,Band,,,,a2f7e646-7109-4989-a27b-fde73b6a5312
Mansfield.TYA,2006,Scène 2,2006-09-02,22:00,22:40,0,,,France,Nantes - Loire-Atlantique,Band,,,,4b290fcf-8080-48dd-906a-1754840ad280
Babylon Circus,2006,Scène 1,2006-09-02,22:45,23:45,0,,,France,Lyon - Rhône,Band,,,,84788caa-d859-4814-bf18-cbfbe277ce73
Sarazvati,2006,Scène 2,2006-09-02,00:15,00:55,0,,,France,Lille - Nord,Band,,,,
Zenzile,2006,Scène 1,2006-09-02,00:45,01:45,0,,,France,Angers - Maine-et-Loire,Band,,,,813d273f-a945-4c09-8318-49dba4fd13a4
